symbol,strategy,name,n_signals,fills,trades,total_return_pct,cagr_pct,sharpe,max_dd_pct,win_rate_pct
XLE,BUY_AND_HOLD,Buy & Hold,1,1,0,133.78,5.84,0.35,-70.92,0.0
XLE,buy-5day-low,Buy on 5-day Low,455,420,210,31.74,1.86,0.2,-50.6,65.7
XLE,3-bar-low,3-Bar Low,592,307,153,138.61,5.98,0.38,-59.42,69.3
XLE,3-bar-low-200ema,3-Bar Low + 200 EMA filter,278,199,99,45.43,2.53,0.23,-60.66,70.7
XLE,bb-reversal-ibs,BB Reversal + IBS,118,152,76,-22.67,-1.7,-0.12,-44.73,59.2
XLE,avg-hl-range-ibs,Avg HL Range + IBS,76,76,38,-26.82,-2.06,-0.13,-55.55,65.8
XLE,turn-of-month-25,Turn of the Month (>=25),178,219,109,56.4,3.03,0.33,-22.96,61.5
XLE,consec-below-sma5,3 bars below SMA(5),901,530,265,68.72,3.56,0.31,-49.99,64.2
XLE,turn-around-tuesday,Turn-around Tuesday,161,280,140,-23.68,-1.79,-0.07,-48.33,57.9
XLE,turn-around-tuesday-200sma,Turn-around Tue + 200 SMA,86,156,78,18.95,1.17,0.19,-19.32,60.3
XLE,consec-bearish-3,3 consecutive bearish,434,394,197,36.92,2.12,0.22,-44.96,65.5
XLE,4bar-momentum-reversal,4-Bar Momentum Reversal,770,464,232,-18.53,-1.36,-0.01,-64.48,65.5
XOP,BUY_AND_HOLD,Buy & Hold,1,1,0,-5.23,-0.36,0.18,-89.86,0.0
XOP,buy-5day-low,Buy on 5-day Low,477,420,210,-14.89,-1.07,0.07,-72.78,63.8
XOP,3-bar-low,3-Bar Low,629,285,142,-26.73,-2.06,0.08,-85.14,63.4
XOP,3-bar-low-200ema,3-Bar Low + 200 EMA filter,234,159,79,66.98,3.48,0.28,-33.61,63.3
XOP,bb-reversal-ibs,BB Reversal + IBS,120,152,76,21.52,1.31,0.17,-36.05,64.5
XOP,avg-hl-range-ibs,Avg HL Range + IBS,72,76,38,15.39,0.96,0.14,-48.49,76.3
XOP,turn-of-month-25,Turn of the Month (>=25),172,220,110,21.84,1.33,0.16,-51.66,66.4
XOP,consec-below-sma5,3 bars below SMA(5),954,540,270,21.05,1.28,0.18,-70.68,64.8
XOP,turn-around-tuesday,Turn-around Tuesday,180,300,150,-26.32,-2.02,0.01,-69.69,63.3
XOP,turn-around-tuesday-200sma,Turn-around Tue + 200 SMA,79,142,71,50.91,2.79,0.33,-27.2,64.8
XOP,consec-bearish-3,3 consecutive bearish,438,398,199,-43.7,-3.76,-0.06,-79.09,65.3
XOP,4bar-momentum-reversal,4-Bar Momentum Reversal,773,474,237,-27.82,-2.15,0.01,-64.56,62.0
XBI,BUY_AND_HOLD,Buy & Hold,1,1,0,407.07,11.45,0.5,-63.82,0.0
XBI,buy-5day-low,Buy on 5-day Low,434,424,212,282.31,9.37,0.61,-36.0,66.5
XBI,3-bar-low,3-Bar Low,571,283,141,96.27,4.61,0.31,-50.6,65.2
XBI,3-bar-low-200ema,3-Bar Low + 200 EMA filter,308,211,105,77.57,3.91,0.29,-39.84,64.8
XBI,bb-reversal-ibs,BB Reversal + IBS,99,130,65,40.03,2.27,0.27,-17.1,63.1
