strategy,symbol,n_trades,win_rate_pct,mean_ret_pct,expectancy_pct,profit_factor,payoff_ratio,sharpe_ish,sharpe_ann,max_dd_pct,total_return_pct,cagr_pct,bh_cagr_pct,n_bars
gap-fill-reversion,GDX,83,56.6,-0.045,-0.045,0.95,0.73,-0.018,-0.02,-23.61,-4.23,-0.58,22.99,1862
gap-fill-reversion,KRE,44,54.5,-0.087,-0.087,0.89,0.74,-0.039,-0.08,-13.7,-4.7,-0.65,8.2,1862
gap-fill-reversion,XHB,47,63.8,-0.05,-0.05,0.95,0.54,-0.018,-0.06,-18.75,-4.05,-0.56,17.68,1862
gap-fill-reversion,XBI,28,67.9,0.813,0.813,2.07,0.98,0.258,0.45,-8.96,23.31,2.88,9.0,1862
gap-fill-reversion,XME,66,53.0,-0.158,-0.158,0.84,0.75,-0.069,-0.17,-20.19,-11.22,-1.6,24.78,1862
gap-fill-reversion,IWM,43,67.4,0.353,0.353,1.66,0.8,0.181,0.43,-10.01,15.06,1.92,12.33,1862
gap-fill-reversion,XOP,71,66.2,0.483,0.483,1.58,0.81,0.159,0.45,-17.05,35.51,4.2,8.08,1862
gap-fill-reversion,XLE,60,46.7,-0.177,-0.177,0.81,0.92,-0.078,-0.19,-14.5,-11.46,-1.63,14.18,1862
gap-fill-reversion,QQQ,47,76.6,0.696,0.696,3.45,1.05,0.474,1.0,-4.2,37.31,4.38,24.29,1862
gap-fill-reversion,ALL,489,60.3,0.152,0.152,1.19,0.78,0.061,0.0,0.0,0.0,0.0,0.0,0
