strategy,symbol,n_trades,win_rate_pct,mean_ret_pct,expectancy_pct,profit_factor,payoff_ratio,sharpe_ish,sharpe_ann,max_dd_pct,total_return_pct,cagr_pct,bh_cagr_pct,n_bars
rsi2-oversold,SPY,106,69.8,0.669,0.669,2.42,1.05,0.32,1.06,-14.01,96.64,9.58,17.88,1862
gap-fill-reversion,SPY,27,70.4,0.25,0.25,1.83,0.77,0.256,0.4,-4.16,6.73,0.89,17.88,1862
rsi2-oversold,DIA,95,66.3,0.56,0.56,1.99,1.01,0.257,0.8,-14.18,64.96,7.01,13.27,1862
gap-fill-reversion,DIA,19,68.4,-0.23,-0.23,0.66,0.3,-0.109,-0.19,-10.34,-4.64,-0.64,13.27,1862
rsi2-oversold,XLK,101,75.2,1.509,1.509,3.77,1.24,0.371,1.24,-24.3,315.78,21.27,29.04,1862
gap-fill-reversion,XLK,47,70.2,0.341,0.341,1.65,0.7,0.176,0.39,-8.69,15.74,2.0,29.04,1862
rsi2-oversold,XLF,89,66.3,0.441,0.441,1.49,0.76,0.113,0.35,-40.75,38.2,4.48,12.98,1862
gap-fill-reversion,XLF,25,48.0,-0.533,-0.533,0.45,0.49,-0.287,-0.56,-17.15,-12.69,-1.82,12.98,1862
rsi2-oversold,XLV,98,58.2,0.069,0.069,1.1,0.79,0.033,0.12,-22.72,5.06,0.67,9.73,1862
gap-fill-reversion,XLV,16,56.2,0.417,0.417,2.6,2.02,0.316,0.36,-3.74,6.62,0.87,9.73,1862
rsi2-oversold,XLI,98,69.4,0.545,0.545,1.67,0.74,0.132,0.46,-42.02,53.61,5.98,16.11,1862
gap-fill-reversion,XLI,32,50.0,-0.241,-0.241,0.54,0.54,-0.206,-0.2,-14.18,-7.51,-1.05,16.11,1862
rsi2-oversold,XLY,84,67.9,0.67,0.67,1.85,0.87,0.208,0.57,-25.55,66.61,7.15,13.75,1862
gap-fill-reversion,XLY,44,70.5,0.346,0.346,1.99,0.84,0.261,0.58,-6.6,15.72,2.0,13.75,1862
rsi2-oversold,XLP,114,61.4,0.115,0.115,1.18,0.74,0.058,0.19,-19.24,11.79,1.52,9.76,1862
gap-fill-reversion,XLP,9,44.4,-1.054,-1.054,0.32,0.39,-0.385,-0.44,-13.64,-9.22,-1.3,9.76,1862
rsi2-oversold,XLU,81,58.0,0.136,0.136,1.14,0.83,0.044,0.13,-24.23,6.62,0.87,10.84,1862
gap-fill-reversion,XLU,9,44.4,-0.426,-0.426,0.34,0.43,-0.324,-0.21,-8.21,-3.73,-0.51,10.84,1862
rsi2-oversold,XLB,89,67.4,0.418,0.418,1.44,0.69,0.122,0.4,-21.96,34.97,4.14,12.14,1862
gap-fill-reversion,XLB,31,45.2,-0.605,-0.605,0.38,0.46,-0.319,-0.7,-19.8,-17.47,-2.56,12.14,1862
rsi2-oversold,XLRE,72,58.3,0.039,0.039,1.05,0.75,0.015,0.08,-32.69,0.74,0.1,8.65,1862
gap-fill-reversion,XLRE,20,55.0,-0.563,-0.563,0.35,0.29,-0.298,-0.36,-13.21,-10.86,-1.54,8.65,1862
rsi2-oversold,XLC,94,70.2,0.541,0.541,1.73,0.73,0.158,0.49,-27.18,55.93,6.2,15.85,1862
gap-fill-reversion,XLC,34,58.8,0.263,0.263,1.86,1.3,0.264,0.46,-5.21,9.01,1.17,15.85,1862
rsi2-oversold,SMH,112,69.6,1.578,1.578,2.84,1.24,0.342,1.05,-33.2,404.17,24.48,43.41,1862
gap-fill-reversion,SMH,89,66.3,0.382,0.382,1.52,0.77,0.161,0.47,-11.94,36.63,4.31,43.41,1862
rsi2-oversold,GLD,102,55.9,0.408,0.408,1.57,1.24,0.151,0.52,-20.98,46.18,5.27,18.19,1862
gap-fill-reversion,GLD,41,65.9,0.082,0.082,1.19,0.62,0.062,0.12,-9.06,2.98,0.4,18.19,1862
rsi2-oversold,SLV,89,59.6,0.643,0.643,1.44,0.98,0.122,0.36,-33.16,49.68,5.61,23.27,1862
gap-fill-reversion,SLV,90,60.0,0.082,0.082,1.08,0.72,0.025,0.06,-23.97,0.87,0.12,23.27,1862
rsi2-oversold,USO,69,58.0,0.676,0.676,1.41,1.02,0.104,0.26,-35.28,26.07,3.19,6.91,1862
gap-fill-reversion,USO,78,61.5,0.65,0.65,2.16,1.35,0.3,0.75,-9.55,59.98,6.57,6.91,1862
rsi2-oversold,TLT,51,49.0,-0.243,-0.243,0.78,0.81,-0.073,-0.18,-30.53,-13.89,-2.0,-1.93,1862
gap-fill-reversion,TLT,18,55.6,0.25,0.25,1.92,1.53,0.234,0.33,-4.46,4.39,0.58,-1.93,1862
rsi2-oversold,IEF,79,63.3,0.197,0.197,1.82,1.06,0.185,0.5,-6.82,15.22,1.94,1.03,1862
gap-fill-reversion,IEF,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,1862
rsi2-oversold,HYG,105,64.8,0.145,0.145,1.71,0.93,0.169,0.51,-8.1,15.71,1.99,5.3,1862
gap-fill-reversion,HYG,3,100.0,0.544,0.544,999.0,999.0,3.03,0.43,-0.56,1.62,0.22,5.3,1862
rsi2-oversold,LQD,87,62.1,0.088,0.088,1.24,0.76,0.07,0.2,-9.08,6.92,0.91,3.12,1862
gap-fill-reversion,LQD,2,50.0,0.336,0.336,19.82,19.82,0.904,0.28,-0.3,0.67,0.09,3.12,1862
rsi2-oversold,EEM,76,61.8,0.36,0.36,1.48,0.91,0.132,0.35,-16.56,27.02,3.29,10.27,1862
gap-fill-reversion,EEM,55,56.4,-0.113,-0.113,0.82,0.64,-0.071,-0.19,-16.99,-7.51,-1.05,10.27,1862
rsi2-oversold,EFA,101,63.4,0.414,0.414,1.71,0.99,0.195,0.58,-13.02,47.5,5.4,11.31,1862
gap-fill-reversion,EFA,46,60.9,-0.084,-0.084,0.85,0.55,-0.055,-0.13,-7.64,-4.45,-0.61,11.31,1862
rsi2-oversold,ARKK,66,59.1,0.143,0.143,1.05,0.73,0.018,0.08,-51.89,-9.57,-1.35,11.74,1862
gap-fill-reversion,ARKK,70,62.9,0.202,0.202,1.19,0.7,0.066,0.2,-17.89,11.23,1.45,11.74,1862
