symbol,name,sector
ADBE,Adobe,Information Technology
AMD,Advanced Micro Devices,Information Technology
ABNB,Airbnb,Consumer Discretionary
GOOGL,Alphabet Class A,Communication Services
GOOG,Alphabet Class C,Communication Services
AMZN,Amazon,Consumer Discretionary
AEP,American Electric Power,Utilities
AMGN,Amgen,Health Care
ADI,Analog Devices,Information Technology
ANSS,Ansys,Information Technology
AAPL,Apple,Information Technology
AMAT,Applied Materials,Information Technology
APP,AppLovin,Information Technology
ARM,Arm Holdings,Information Technology
ASML,ASML Holding,Information Technology
AZN,AstraZeneca,Health Care
TEAM,Atlassian,Information Technology
ADSK,Autodesk,Information Technology
ADP,Automatic Data Processing,Industrials
AXON,Axon Enterprise,Industrials
BKR,Baker Hughes,Energy
BIIB,Biogen,Health Care
BKNG,Booking Holdings,Consumer Discretionary
AVGO,Broadcom,Information Technology
CDNS,Cadence Design Systems,Information Technology
CDW,CDW Corporation,Information Technology
CHTR,Charter Communications,Communication Services
CTAS,Cintas,Industrials
CSCO,Cisco,Information Technology
CCEP,Coca-Cola Europacific Partners,Consumer Staples
CTSH,Cognizant Technology Solutions,Information Technology
CMCSA,Comcast,Communication Services
CEG,Constellation Energy,Utilities
CPRT,Copart,Industrials
CSGP,CoStar Group,Real Estate
COST,Costco,Consumer Staples
CRWD,CrowdStrike Holdings,Information Technology
CSX,CSX,Industrials
DDOG,Datadog,Information Technology
DXCM,DexCom,Health Care
FANG,Diamondback Energy,Energy
DASH,DoorDash,Consumer Discretionary
EA,Electronic Arts,Communication Services
EXC,Exelon,Utilities
FAST,Fastenal,Industrials
FTNT,Fortinet,Information Technology
GEHC,GE HealthCare,Health Care
GILD,Gilead Sciences,Health Care
GFS,GlobalFoundries,Information Technology
HON,Honeywell,Industrials
IDXX,IDEXX Laboratories,Health Care
INTC,Intel,Information Technology
INTU,Intuit,Information Technology
ISRG,Intuitive Surgical,Health Care
KDP,Keurig Dr Pepper,Consumer Staples
KLAC,KLA,Information Technology
KHC,Kraft Heinz,Consumer Staples
LRCX,Lam Research,Information Technology
LIN,Linde,Materials
LULU,Lululemon Athletica,Consumer Discretionary
MAR,Marriott International,Consumer Discretionary
MRVL,Marvell Technology,Information Technology
MELI,MercadoLibre,Consumer Discretionary
META,Meta Platforms,Communication Services
MCHP,Microchip Technology,Information Technology
MU,Micron Technology,Information Technology
MSFT,Microsoft,Information Technology
MSTR,MicroStrategy,Information Technology
MDLZ,Mondelez International,Consumer Staples
MNST,Monster Beverage,Consumer Staples
NFLX,Netflix,Communication Services
NXPI,NXP Semiconductors,Information Technology
ORLY,O'Reilly Automotive,Consumer Discretionary
ODFL,Old Dominion Freight Line,Industrials
ON,ON Semiconductor,Information Technology
PCAR,Paccar,Industrials
PLTR,Palantir Technologies,Information Technology
PANW,Palo Alto Networks,Information Technology
PAYX,Paychex,Industrials
PYPL,PayPal,Financials
PDD,PDD Holdings,Consumer Discretionary
PEP,PepsiCo,Consumer Staples
QCOM,Qualcomm,Information Technology
REGN,Regeneron Pharmaceuticals,Health Care
ROP,Roper Technologies,Information Technology
ROST,Ross Stores,Consumer Discretionary
SBUX,Starbucks,Consumer Discretionary
SHOP,Shopify,Information Technology
SNPS,Synopsys,Information Technology
TTWO,Take-Two Interactive,Communication Services
TMUS,T-Mobile US,Communication Services
TSLA,Tesla,Consumer Discretionary
TXN,Texas Instruments,Information Technology
TTD,Trade Desk,Communication Services
VRSK,Verisk Analytics,Industrials
VRTX,Vertex Pharmaceuticals,Health Care
WBD,Warner Bros. Discovery,Communication Services
WDAY,Workday,Information Technology
XEL,Xcel Energy,Utilities
ZS,Zscaler,Information Technology
NVDA,Nvidia,Information Technology
